#Do not edit! This file is automatically extracted from Unicode Data.
#code;character;name;variant;plain_code;plain_character
1D518;𝔘;MATHEMATICAL FRAKTUR CAPITAL U;Fraktur;0055;U
1D519;𝔙;MATHEMATICAL FRAKTUR CAPITAL V;Fraktur;0056;V
1D51A;𝔚;MATHEMATICAL FRAKTUR CAPITAL W;Fraktur;0057;W
1D51B;𝔛;MATHEMATICAL FRAKTUR CAPITAL X;Fraktur;0058;X
1D51C;𝔜;MATHEMATICAL FRAKTUR CAPITAL Y;Fraktur;0059;Y
1D51E;𝔞;MATHEMATICAL FRAKTUR SMALL A;Fraktur;0061;a
1D51F;𝔟;MATHEMATICAL FRAKTUR SMALL B;Fraktur;0062;b
1D520;𝔠;MATHEMATICAL FRAKTUR SMALL C;Fraktur;0063;c
1D521;𝔡;MATHEMATICAL FRAKTUR SMALL D;Fraktur;0064;d
1D522;𝔢;MATHEMATICAL FRAKTUR SMALL E;Fraktur;0065;e
